problem	trajectory_id	started	ended	model	steps	cached_tokens	input_tokens	output_tokens	cost_usd	solved
putnam_1974_b6	bea0a8b9-7df7-4b32-ad98-97fd5ad5d1ad	2026-08-08T15:49:30	2026-08-08T16:13:07	deepseek-v4-flash	44	977231	40988	122476	0.0428	1
putnam_1975_a1	2ba2ae6a-373e-475c-8c1f-67e746f3ab36	2026-08-08T15:53:23	2026-08-08T15:57:12	deepseek-v4-flash	11	48314	7469	17930	0.0062	1
putnam_1975_a2	4963d508-1f03-4166-a9b4-0b3b302d818f	2026-08-08T15:56:20	2026-08-08T16:16:18	deepseek-v4-flash	58	1311049	50282	99676	0.0386	1
putnam_1975_a3	735351ce-3832-477c-b318-9a797bfea84e	2026-08-08T15:57:22	2026-08-08T16:25:39	deepseek-v4-flash	43	1184365	47695	111690	0.0413	1
putnam_1975_a4	58c03c4f-3184-46dc-89de-c89bcf3fc96e	2026-08-08T16:07:35	2026-08-08T16:15:43	deepseek-v4-flash	11	67927	14175	52031	0.0167	1
putnam_1975_a5	0a41009d-c776-4235-8a19-fa23bbf84cf0	2026-08-08T16:11:27	2026-08-08T16:47:00	deepseek-v4-flash	94	4954584	94513	146012	0.068	1
putnam_1975_b1	5a2cd552-dd02-47a7-ac3c-a241c9bde13b	2026-08-08T16:13:16	2026-08-08T16:15:22	deepseek-v4-flash	8	27622	6124	10124	0.0038	1
putnam_1975_b2	ac2fca54-8195-419e-82b9-4caa5a536054	2026-08-08T16:14:28	2026-08-08T16:35:59	deepseek-v4-flash	60	1928387	62960	126584	0.0497	1
putnam_1975_b3	8a805a39-c5d6-408c-87ce-5808fad595bb	2026-08-08T16:15:31	2026-08-08T16:31:31	deepseek-v4-flash	53	1253626	47946	80005	0.0326	1
putnam_1975_b4	de266d18-8525-4a79-a466-226f2d2409f6	2026-08-08T16:15:55	2026-08-08T16:21:57	deepseek-v4-flash	21	205337	18337	31280	0.0119	1
putnam_1975_b5	8a69eb10-ab7a-40b2-9a4a-53056b1da5a6	2026-08-08T16:16:29	2026-08-08T16:43:36	deepseek-v4-flash	69	2806771	73944	146330	0.0592	1
putnam_1975_b6	2ad79764-59ee-4e23-8348-adb5d2942ba7	2026-08-08T16:22:07	2026-08-08T16:30:48	deepseek-v4-flash	24	273372	23358	50837	0.0183	1
putnam_1976_a2	7d0fa5ea-2c98-4422-a88e-6dd5388da03e	2026-08-08T16:26:57	2026-08-08T16:38:49	deepseek-v4-flash	16	164631	17617	69495	0.0224	1
putnam_1976_a3	3e6e05e2-52cf-4319-9a75-b515bddb08a3	2026-08-08T16:31:03	2026-08-08T16:49:56	deepseek-v4-flash	30	535215	32764	109905	0.0369	1
putnam_1976_a4	040c47ff-c2eb-4e6b-8268-964f0e186a66	2026-08-08T16:31:47	2026-08-08T16:41:37	deepseek-v4-flash	14	155107	22940	59361	0.0203	1
putnam_1976_a6	51b88252-1846-4ed4-8997-01ac4c3af2c8	2026-08-08T16:32:02	2026-08-08T16:45:32	deepseek-v4-flash	27	540238	35872	82270	0.0296	1
putnam_1976_b1	7acc93e8-19f8-404c-9390-e49d46515198	2026-08-08T16:36:09	2026-08-08T17:45:59	deepseek-v4-flash	232	17738769	139077	267770	0.1441	1
putnam_1976_b2	f9e4d4ad-bb3a-42c2-b75b-037235e59968	2026-08-08T16:38:58	2026-08-08T17:05:10	deepseek-v4-flash	48	1230866	45747	121939	0.044	1
putnam_1976_b3	734b77f4-9e5a-412e-98f5-2e19924ea1dc	2026-08-08T16:41:52	2026-08-08T16:58:02	deepseek-v4-flash	18	262781	26802	96742	0.0316	1
putnam_1976_b5	b11daf4b-90e7-4d89-a881-b2a8535114e1	2026-08-08T16:43:45	2026-08-08T16:53:22	deepseek-v4-flash	27	326822	22252	52997	0.0189	1
putnam_1976_b6	aa3665b6-fd5e-4baa-a26d-d3ab8a8228cf	2026-08-08T16:45:47	2026-08-08T17:11:48	deepseek-v4-flash	106	4541998	74650	132083	0.0602	1
putnam_1977_a1	b2fcbab4-e2b2-40c3-b67a-98545fac8060	2026-08-08T16:47:20	2026-08-08T16:58:30	deepseek-v4-flash	41	721308	30939	47552	0.0197	1
putnam_1977_a2	a8cd912c-517c-486a-a510-6fe9cc51dd34	2026-08-08T16:50:08	2026-08-08T16:51:32	deepseek-v4-flash	5	11959	4345	7470	0.0027	1
putnam_1977_a3	e59aa88e-afc6-4d6a-9b38-98c2866fe691	2026-08-08T16:51:41	2026-08-08T16:52:46	deepseek-v4-flash	7	17169	3744	3195	0.0015	1
putnam_1977_a4	d3d162a4-02dd-4a34-be12-6eeee5d761f0	2026-08-08T16:52:55	2026-08-08T17:08:44	deepseek-v4-flash	82	2212404	59919	70273	0.0343	1
putnam_1977_a5	894f5fd5-670d-4b79-8380-237abe12972e	2026-08-08T16:53:34	2026-08-08T16:54:45	deepseek-v4-flash	10	49432	7647	4262	0.0024	1
putnam_1977_a6	cedb5f00-88ec-4370-a85b-394f332ec803	2026-08-08T16:54:53	2026-08-08T17:21:06	deepseek-v4-flash	46	1269856	49119	142198	0.0502	1
putnam_1977_b1	e2db30a1-b85d-47b0-8f0e-b61fc15d1d2f	2026-08-08T16:58:15	2026-08-08T17:04:44	deepseek-v4-flash	21	273300	25432	35079	0.0141	1
putnam_1977_b3	f5e0f536-d84d-4871-8460-1f7e024d97c1	2026-08-08T16:58:46	2026-08-08T17:32:47	deepseek-v4-flash	77	2909591	71475	178650	0.0682	1
putnam_1977_b5	405decac-3c3d-4ae3-a1f0-c127c4ac21cc	2026-08-08T17:04:55	2026-08-08T17:13:05	deepseek-v4-flash	13	88563	15552	43410	0.0146	1
putnam_1977_b6	bbea4afa-6cf8-4750-bde8-334fede6c381	2026-08-08T17:05:34	2026-08-08T17:41:27	deepseek-v4-flash	13	77378	14520	198972	0.058	1
putnam_1978_a1	de1f9280-d6c9-438a-8f5c-644c79aeee45	2026-08-08T17:08:55	2026-08-08T17:16:14	deepseek-v4-flash	15	131341	14814	40805	0.0139	1
putnam_1978_a2	4f0c4880-b752-4e88-a9cf-91aabbc5936c	2026-08-08T17:11:58	2026-08-08T17:29:44	deepseek-v4-flash	64	1803725	54533	95319	0.0394	1
putnam_1978_a3	2813554a-2b5d-4e9a-9a86-0130f894afd5	2026-08-08T17:13:14	2026-08-08T17:36:45	deepseek-v4-flash	59	1803759	55629	119515	0.0463	1
putnam_1978_a4	a10b1bba-bd8c-4dd1-9bb3-a6a04fdf7ee0	2026-08-08T17:16:22	2026-08-08T17:22:54	deepseek-v4-flash	16	91871	9204	25020	0.0086	1
putnam_1978_a5	de0d3c74-4f49-4d42-9f8e-8fe15df361e1	2026-08-08T17:21:23	2026-08-08T17:28:34	deepseek-v4-flash	38	599511	35712	35532	0.0166	1
putnam_1978_a6	2ff5d7a5-9826-471a-b07c-428e2e412a3d	2026-08-08T17:23:01	2026-08-08T18:03:55	deepseek-v4-flash	77	2643985	67807	162091	0.0623	1
putnam_1978_b2	03d4ddd3-2bf5-4d5b-8e4b-4b44297b8db8	2026-08-08T17:28:44	2026-08-08T18:30:32	deepseek-v4-flash	116	5572793	97318	197322	0.0845	1
putnam_1978_b3	21c235aa-8eff-4f25-a938-a1c437bb3e1a	2026-08-08T17:29:52	2026-08-08T18:02:56	deepseek-v4-flash	46	1233210	47591	149370	0.0519	1
putnam_1978_b4	095ca7a3-c8d7-4992-8edf-24fff633beaf	2026-08-08T17:32:58	2026-08-08T17:40:42	deepseek-v4-flash	12	59157	9942	40581	0.0129	1
putnam_1978_b5	ff6da13d-1e3a-4dcc-bc1e-e406490b51bd	2026-08-08T17:36:58	2026-08-08T17:46:03	deepseek-v4-flash	24	222624	19665	47485	0.0167	1
putnam_1978_b6	c4a51b11-5ffe-4ab9-b413-77e0cceab6ca	2026-08-08T17:40:51	2026-08-08T17:49:05	deepseek-v4-flash	13	85306	11231	43574	0.014	1
putnam_1979_a1	d36ae368-3ab2-4a3f-bcb2-b00563da323f	2026-08-08T17:41:46	2026-08-08T18:12:19	deepseek-v4-flash	63	1616590	47768	146474	0.0522	1
putnam_1979_a2	cec24d63-a307-470e-a9ae-31a94655c109	2026-08-08T17:46:14	2026-08-08T17:48:47	deepseek-v4-flash	17	105165	11852	12400	0.0054	1
putnam_1979_a3	8a6a1de2-4197-42b7-a1f1-1585bbbf8a3e	2026-08-08T17:46:15	2026-08-08T17:53:21	deepseek-v4-flash	8	33063	7634	40475	0.0125	1
putnam_1979_a4	046b2184-03b6-4591-a098-927bae62841a	2026-08-08T17:48:54	2026-08-08T18:25:54	deepseek-v4-flash	58	2274242	70666	186030	0.0683	1
putnam_1979_a5	fd50c492-5532-47ae-8f4a-738dfb88776f	2026-08-08T17:49:15	2026-08-08T18:20:33	deepseek-v4-flash	69	2117582	65891	153795	0.0582	1
putnam_1979_a6	a58ed900-faa5-45c5-8fe0-95004db81314	2026-08-08T17:53:30	2026-08-08T18:49:41	deepseek-v4-flash	55	2405650	77029	323111	0.108	1
putnam_1979_b2	7481c048-a5ae-4047-a87c-39a4af090643	2026-08-08T18:03:21	2026-08-08T18:16:25	deepseek-v4-flash	50	1192928	44338	69644	0.029	1
putnam_1979_b3	6e404e9c-9f1e-4762-9e9d-81d2de792aa3	2026-08-08T18:04:28	2026-08-08T18:28:20	deepseek-v4-flash	109	4886521	83319	119124	0.0587	1
putnam_1979_b5	54fb4e31-bf08-4514-98f0-3f6df17e0b80	2026-08-08T18:12:28	2026-08-08T20:58:33	deepseek-v4-flash	21	53309	3227	972909	0.273	1
putnam_1979_b5	dc875449-eeb8-4a81-bd34-7b69d2ae881c	2026-08-12T05:15:42	2026-08-12T08:09:57	deepseek-v4-flash	162	6242271	144383	926801	0.2972	1
putnam_1979_b5	e366e421-5455-4780-96e0-d223062cd455	2026-08-12T23:10:15	2026-08-13T18:55:01	deepseek-v4-pro	1596	307843450	971832	1148519	2.5379	1
putnam_1979_b6	7c3cf666-edfd-41ba-8532-106748b102cd	2026-08-08T18:16:34	2026-08-08T18:21:25	deepseek-v4-flash	23	222428	21636	23070	0.0101	1
putnam_1980_a2	54ad06bc-3eab-4cd0-b563-5cce282171ff	2026-08-08T18:20:52	2026-08-08T19:09:13	deepseek-v4-flash	155	9497672	108839	177480	0.0915	1
putnam_1980_a3	c5d8b95a-84db-43b1-8b30-40b25810a272	2026-08-08T18:21:33	2026-08-08T18:30:50	deepseek-v4-flash	34	688573	36006	50092	0.021	1
putnam_1980_a4	ab00a0f2-3661-4441-af64-e156d44cfbd2	2026-08-08T18:26:14	2026-08-08T18:50:46	deepseek-v4-flash	41	1062029	51306	117400	0.043	1
putnam_1980_a5	d946558e-e394-4e86-93f9-4b37945926e1	2026-08-08T18:28:29	2026-08-08T18:51:57	deepseek-v4-flash	27	714404	48087	149254	0.0505	1
putnam_1980_a6	4a0f454a-9460-4049-a52e-1a1d824d3e3d	2026-08-08T18:30:42	2026-08-08T18:54:06	deepseek-v4-flash	60	2513448	78126	132060	0.055	1
putnam_1980_b1	3f4c6ecd-ec70-4465-8e31-7c2d0f469280	2026-08-08T18:30:59	2026-08-08T18:38:04	deepseek-v4-flash	38	648574	32812	33313	0.0157	1
putnam_1980_b3	b6abb2cb-67ba-4892-9158-a1d072bae4cd	2026-08-08T18:38:18	2026-08-08T18:47:21	deepseek-v4-flash	33	369356	20216	46475	0.0169	1
putnam_1980_b4	767aa7dd-a9f2-45bb-94f7-7a7add484fe5	2026-08-08T18:47:29	2026-08-08T18:57:11	deepseek-v4-flash	24	219513	16992	52239	0.0176	1
putnam_1980_b5	47061f80-4a59-4696-bd70-68765a621816	2026-08-08T18:49:56	2026-08-08T18:59:04	deepseek-v4-flash	13	119926	17935	49675	0.0168	1
putnam_1980_b6	0708dea1-e575-4fd6-8710-58735fdfee2d	2026-08-08T18:51:08	2026-08-08T19:44:38	deepseek-v4-flash	141	8513327	126104	236191	0.1076	1
putnam_1981_a1	4e47dfde-c8fe-4b81-9a65-13cbeeed7c58	2026-08-08T18:52:07	2026-08-08T19:16:53	deepseek-v4-flash	63	1851386	60804	117377	0.0466	1
putnam_1981_a3	9f2d9470-aeb4-43e3-8f84-9ef48590d60c	2026-08-08T18:54:17	2026-08-08T19:21:16	deepseek-v4-flash	80	3195604	71364	149708	0.0609	1
putnam_1981_a5	4d9846ba-f9dc-4970-9ff9-06deee7f0945	2026-08-08T18:57:20	2026-08-08T19:27:44	deepseek-v4-flash	56	2220783	63919	139952	0.0544	1
putnam_1981_b1	7ebf8bad-08f6-4a92-8d05-944b69b0e577	2026-08-08T18:59:18	2026-08-08T19:07:16	deepseek-v4-flash	31	281689	18998	37460	0.0139	1
putnam_1981_b2	9c694caa-504a-4175-a818-b8d0ba0de05b	2026-08-08T19:07:26	2026-08-08T19:21:52	deepseek-v4-flash	25	374619	25800	47315	0.0179	1
putnam_1981_b3	50d6ceca-7aff-4592-a0e8-a2a84d057633	2026-08-08T19:09:29	2026-08-08T19:17:49	deepseek-v4-flash	11	53850	8146	44598	0.0138	1
putnam_1981_b4	73b52978-57d8-4495-a5af-7f412105aa56	2026-08-08T19:17:12	2026-08-08T19:40:54	deepseek-v4-flash	37	746792	39692	109501	0.0383	1
putnam_1981_b5	7b59faa8-731c-4414-abcb-44b6de9e6b94	2026-08-08T19:17:59	2026-08-08T19:49:30	deepseek-v4-flash	95	3819331	78602	145815	0.0625	1
putnam_1982_a2	2cc0d0dd-a552-4b37-b813-587d77560b2c	2026-08-08T19:21:36	2026-08-08T19:37:56	deepseek-v4-flash	47	1051000	41804	82127	0.0318	1
putnam_1982_a3	744e4cd7-3e00-4aa3-946b-4ef2ec7f1aa2	2026-08-08T19:22:17	2026-08-08T19:42:48	deepseek-v4-flash	103	3730434	74032	116341	0.0534	1
putnam_1982_a4	dd0b1f53-1ea1-4760-ba2e-d15945544f01	2026-08-08T19:28:01	2026-08-08T19:46:36	deepseek-v4-flash	21	456858	33965	95536	0.0328	1
putnam_1982_a5	b4501c25-8c0c-4492-a7c2-aa8eac7fb63b	2026-08-08T19:38:08	2026-08-08T19:51:03	deepseek-v4-flash	12	65403	9227	61984	0.0188	1
putnam_1982_a6	5f24f07d-06d4-4970-b8ad-c1ed6d33d6c4	2026-08-08T19:41:12	2026-08-09T00:59:28	deepseek-v4-flash	275	37581933	251688	951112	0.4068	1
putnam_1982_a6	e33b8f11-1f65-46fe-8a6e-429f926ecb06	2026-08-12T05:18:53	2026-08-12T07:17:17	deepseek-v4-flash	261	26116314	194983	462415	0.2299	1
putnam_1982_b2	93276b8e-3409-4240-923b-12a663f48675	2026-08-08T19:43:05	2026-08-08T20:51:27	deepseek-v4-flash	156	11599759	133810	233449	0.1166	1
putnam_1982_b3	8ef85a97-c5eb-470d-b4a9-cc1d80411eb0	2026-08-08T19:44:53	2026-08-08T20:39:17	deepseek-v4-flash	111	7893908	121866	236348	0.1053	1
putnam_1982_b4	02102029-ee24-4bb7-9139-faad15f67a2a	2026-08-08T19:46:54	2026-08-08T20:12:17	deepseek-v4-flash	39	645260	29486	131378	0.0427	1
putnam_1982_b5	75b1b33e-d5be-43be-ab6e-f894bd895f87	2026-08-08T19:49:42	2026-08-08T20:15:14	deepseek-v4-flash	36	1260226	62148	140648	0.0516	1
putnam_1983_a1	fab25541-858c-41fb-90b0-b8aca2ff8811	2026-08-08T19:51:24	2026-08-08T20:26:17	deepseek-v4-flash	71	1944444	55490	99949	0.0412	1
putnam_1983_a3	5df7c3e7-6783-4e7b-b3a4-fcb5a1be8883	2026-08-08T20:12:26	2026-08-08T20:25:58	deepseek-v4-flash	22	321562	29264	71139	0.0249	1
putnam_1983_a4	166b259b-1f9c-4efd-b91a-0cd5bc4ac537	2026-08-08T20:15:31	2026-08-08T20:36:04	deepseek-v4-flash	27	422997	26529	106875	0.0348	1
putnam_1983_a5	5fc2b03d-1a6e-47d8-b557-86ba5dbdf67d	2026-08-08T20:26:08	2026-08-08T20:49:54	deepseek-v4-flash	36	965889	49359	113543	0.0414	1
putnam_1983_a6	8985232c-94fb-4906-bbb4-2c0e40616742	2026-08-08T20:26:27	2026-08-09T14:09:15	deepseek-v4-flash	311	39033137	250880	437130	0.2668	1
putnam_1983_b2	fce64ed7-f326-44b4-a05a-393b881c81b7	2026-08-08T20:36:17	2026-08-08T21:15:36	deepseek-v4-flash	108	5056745	95603	182240	0.0786	1
putnam_1983_b4	e1a5bf93-7955-4f0d-8fef-7d7ef766ae4a	2026-08-08T20:39:33	2026-08-08T20:49:28	deepseek-v4-flash	22	192122	17914	44435	0.0155	1
putnam_1983_b5	fc5d9380-5b20-470f-9f17-a235d0635209	2026-08-08T20:49:45	2026-08-08T21:44:54	deepseek-v4-flash	95	7117978	133434	279626	0.1169	1
putnam_1983_b6	c94f75a8-a0f0-44ba-9bfe-db2f0b9cc22b	2026-08-08T20:50:10	2026-08-08T23:36:16	deepseek-v4-flash	63	1374720	48460	167282	0.0575	1
putnam_1984_a2	13546f87-863c-4847-ac12-80c4a652f1de	2026-08-08T20:51:56	2026-08-08T20:59:24	deepseek-v4-flash	27	289225	19781	40868	0.015	1
putnam_1984_a3	e1392637-06a4-44e3-90b0-5b0dbefa4b54	2026-08-08T20:56:33	2026-08-08T21:46:14	deepseek-v4-flash	119	6583849	101219	193048	0.0867	1
putnam_1984_a5	e8ca8f98-4f23-46f9-831f-76d2e40eed09	2026-08-08T20:58:33	2026-08-08T22:01:41	deepseek-v4-flash	215	14240198	136252	235634	0.1249	1
putnam_1984_a6	b52a775a-2358-4a8e-a885-20f5d5dbd659	2026-08-08T20:59:32	2026-08-08T22:05:02	deepseek-v4-flash	140	7855626	101765	225948	0.0995	1
putnam_1984_b1	4a300179-c965-4999-a857-df47066f74d0	2026-08-08T21:15:49	2026-08-08T21:20:40	deepseek-v4-flash	15	82093	9782	19667	0.0071	1
putnam_1984_b2	d5ca0c34-743a-492a-9025-3fe7c4ec29fe	2026-08-08T21:20:51	2026-08-08T21:32:23	deepseek-v4-flash	43	639975	26438	39661	0.0166	1
putnam_1984_b3	e58e5b31-c170-43b0-9a11-23458120ade8	2026-08-08T21:32:41	2026-08-08T21:41:06	deepseek-v4-flash	15	108827	13529	41587	0.0138	1
putnam_1984_b5	5d387e1b-d36a-4e35-ad32-fae41abbaf21	2026-08-08T21:41:17	2026-08-08T22:41:03	deepseek-v4-flash	113	5965912	91598	185972	0.0816	1
putnam_1985_a1	44681450-c35d-4d85-82c0-4277d7b9fb8c	2026-08-08T21:45:20	2026-08-08T22:05:47	deepseek-v4-flash	38	657292	37089	67116	0.0258	1
putnam_1985_a3	b7b734e1-d392-427e-988e-d272df1e3795	2026-08-08T21:46:52	2026-08-08T21:56:02	deepseek-v4-flash	30	312876	18394	31084	0.0122	1
putnam_1985_a4	37176be8-a46b-40ff-88de-45f0668d37bb	2026-08-08T21:56:47	2026-08-08T22:04:08	deepseek-v4-flash	13	57640	7849	22052	0.0074	1
putnam_1985_a5	26c0fb64-7ff9-4753-ba19-7b122a28fe1f	2026-08-08T22:02:24	2026-08-08T22:27:58	deepseek-v4-flash	51	1559983	60068	110686	0.0438	1
putnam_1985_a6	0e34f46e-ac25-4cd8-a010-0a43ed2e899e	2026-08-08T22:04:48	2026-08-08T22:27:49	deepseek-v4-flash	39	762963	45897	104372	0.0378	1
putnam_1985_b1	231da359-bbf0-456c-a15f-781f518b002c	2026-08-08T22:05:30	2026-08-08T22:31:38	deepseek-v4-flash	55	1373152	51473	119747	0.0446	1
putnam_1985_b2	5fcdaef7-9172-43cd-a84e-ef7571d3a342	2026-08-08T22:06:15	2026-08-08T22:22:58	deepseek-v4-flash	43	596505	25809	63955	0.0232	1
putnam_1985_b3	aa86a169-8df0-4cad-ab91-e9bfbb649e46	2026-08-08T22:23:13	2026-08-08T22:51:52	deepseek-v4-flash	102	3655224	68604	124394	0.0547	1
putnam_1985_b5	75cc9f7d-c104-449c-934e-4d77c09e9ff9	2026-08-08T22:27:59	2026-08-08T23:01:29	deepseek-v4-flash	87	3505222	76346	154926	0.0639	1
putnam_1985_b6	c01da801-cbf2-4f89-adac-23d1890abd6a	2026-08-08T22:28:11	2026-08-08T22:43:00	deepseek-v4-flash	59	1448441	44037	65696	0.0286	1
putnam_1986_a1	1faa17e5-9dbd-4f67-82f7-1f33d51ca198	2026-08-08T22:31:51	2026-08-08T22:33:12	deepseek-v4-flash	4	6886	2787	5728	0.002	1
putnam_1986_a2	d83b2d04-ce30-4d6a-b97d-b0c88da46181	2026-08-08T22:33:26	2026-08-08T23:00:04	deepseek-v4-flash	31	459509	34137	134455	0.0437	1
putnam_1986_a3	116d05b5-28bd-4f54-8c9d-44b370a91d0f	2026-08-08T22:41:25	2026-08-08T22:55:24	deepseek-v4-flash	60	1320210	42974	74174	0.0305	1
putnam_1986_a4	cef6e393-e312-4cc1-b5ca-1b60db925782	2026-08-08T22:43:16	2026-08-09T00:14:57	deepseek-v4-flash	139	10635438	143565	342022	0.1456	1
putnam_1986_a5	319f77d4-2e00-40aa-807a-2377a70e8583	2026-08-08T22:52:06	2026-08-08T23:22:41	deepseek-v4-flash	87	3966956	78762	114213	0.0541	1
putnam_1986_a6	7548398b-fc36-4d83-a1fb-36bc986b7cbd	2026-08-08T22:55:49	2026-08-08T23:28:08	deepseek-v4-flash	43	1627882	69039	174608	0.0631	1
putnam_1986_b1	78c76b2f-dd05-42e7-af26-73a6df86f0fc	2026-08-08T23:00:18	2026-08-08T23:00:56	deepseek-v4-flash	4	7059	2796	1672	0.0009	1
putnam_1986_b2	c6939bea-7a25-431c-8426-cf9e2778e81d	2026-08-08T23:01:06	2026-08-08T23:08:31	deepseek-v4-flash	11	68090	10275	35783	0.0116	1
putnam_1986_b3	f7ddafb5-c1ad-45e3-b96b-837b63e08eed	2026-08-08T23:01:44	2026-08-08T23:16:14	deepseek-v4-flash	37	510164	26825	64417	0.0232	1
putnam_1986_b4	86e57923-adcd-4579-867c-cc0e2baa147b	2026-08-08T23:08:48	2026-08-08T23:25:07	deepseek-v4-flash	24	311482	24465	54965	0.0197	1
putnam_1986_b5	977ce51e-cde5-48c7-b2b9-b6cd0fe99057	2026-08-08T23:16:26	2026-08-08T23:24:11	deepseek-v4-flash	16	117201	14784	25360	0.0095	1
putnam_1986_b6	5359f054-a6e2-45c1-8882-e1ef28546db2	2026-08-08T23:23:36	2026-08-08T23:29:44	deepseek-v4-flash	22	205922	16297	30253	0.0113	1
putnam_1987_a1	db75760b-aaef-43ca-b5f3-9964f31faa29	2026-08-08T23:24:30	2026-08-08T23:29:21	deepseek-v4-flash	7	27045	6707	25303	0.0081	1
putnam_1987_a2	48005980-c2a1-464b-a2f6-85e765db04cd	2026-08-08T23:25:27	2026-08-08T23:48:56	deepseek-v4-flash	38	874828	40155	93368	0.0342	1
putnam_1987_a4	d4958508-8123-4589-89bb-ce20c33d32ba	2026-08-08T23:28:20	2026-08-09T01:05:53	deepseek-v4-flash	120	6923945	109807	212869	0.0944	1
putnam_1987_a5	376757fb-7472-4fac-8b34-08e427de4e8d	2026-08-08T23:29:39	2026-08-09T00:22:53	deepseek-v4-flash	110	5480901	98425	179785	0.0795	1
putnam_1987_a6	1ab82222-9873-4364-b6eb-89b3a6bb8acc	2026-08-08T23:29:58	2026-08-09T00:57:46	deepseek-v4-flash	173	12041244	126712	232904	0.1167	1
putnam_1987_b1	e2896836-d0a3-4fc2-8ac6-4ee4dc8c0f48	2026-08-08T23:36:46	2026-08-08T23:47:31	deepseek-v4-flash	18	137210	12825	21660	0.0082	1
putnam_1987_b2	67089452-ab14-4434-9bdf-778d7e905ce3	2026-08-08T23:47:59	2026-08-09T00:14:21	deepseek-v4-flash	50	1023169	40499	106548	0.0384	1
putnam_1987_b3	c0091642-f01e-4ed3-b21c-11f54f6c0bd3	2026-08-08T23:49:14	2026-08-08T23:59:46	deepseek-v4-flash	13	75878	10793	44319	0.0141	1
putnam_1987_b4	947af058-0974-45e0-b180-dd012c5ac525	2026-08-09T00:00:15	2026-08-09T00:08:45	deepseek-v4-flash	16	122797	14826	40323	0.0137	1
putnam_1987_b5	eaed39b9-fd57-4ef5-95d1-3faca394c028	2026-08-09T00:09:04	2026-08-09T00:50:00	deepseek-v4-flash	68	2682679	70427	128715	0.0534	1
putnam_1987_b6	f1035795-a0fc-4f6f-9a22-a52a8a9887ab	2026-08-09T00:14:53	2026-08-09T01:14:28	deepseek-v4-flash	92	3611360	72117	192429	0.0741	1
putnam_1988_a1	04c60741-e6fe-40ce-8bd9-53246cd69987	2026-08-09T00:15:39	2026-08-09T00:55:22	deepseek-v4-flash	52	2317361	81374	136163	0.056	1
putnam_1988_a2	39426483-1437-48a0-b5ce-743ddfd53f32	2026-08-09T00:23:54	2026-08-09T00:31:22	deepseek-v4-flash	18	128420	13903	23381	0.0089	1
putnam_1988_a3	31fbada4-603c-4768-a04e-eeb01ac456a6	2026-08-09T00:31:43	2026-08-09T01:06:03	deepseek-v4-flash	81	2814461	61867	107403	0.0466	1
putnam_1988_a4	2a661781-a6b0-4a2e-b01b-53f301100fc0	2026-08-09T00:50:35	2026-08-09T01:25:45	deepseek-v4-flash	60	1875631	55868	128159	0.049	1
putnam_1988_a5	eba3bcd1-d817-4865-abe2-89b8b05c20ba	2026-08-09T00:56:30	2026-08-09T01:02:11	deepseek-v4-flash	10	49702	9754	28464	0.0095	1
putnam_1988_a6	41a717fe-e4af-46cd-b180-ae10534c651e	2026-08-09T00:58:32	2026-08-09T01:25:04	deepseek-v4-flash	72	2213555	51033	130487	0.0499	1
putnam_1988_b1	84635b7e-8305-4721-86e0-2f4c4bf72648	2026-08-07T19:05:15	2026-08-07T19:05:45	deepseek-v4-flash	7	14063	3319	1567	0.0009	1
putnam_1988_b2	8f686ded-a6b4-4588-9fc5-82b7211e5828	2026-08-07T19:12:02	2026-08-07T19:14:28	deepseek-v4-flash	7	17899	4731	11287	0.0039	1
putnam_1988_b3	f55ec208-b5be-4b44-80cc-efc88905b957	2026-08-09T00:59:28	2026-08-09T01:17:49	deepseek-v4-flash	33	588146	29532	78747	0.0278	1
putnam_1988_b4	f0275139-b1f4-40f1-818b-a22778cbdb3f	2026-08-09T01:02:24	2026-08-09T01:21:32	deepseek-v4-flash	50	976788	42270	80949	0.0313	1
putnam_1988_b5	cc8cf637-f4b8-4aa9-aac8-ed2f13d78ca1	2026-08-09T01:06:24	2026-08-09T03:06:43	deepseek-v4-flash	224	19809797	173819	287372	0.1603	1
putnam_1988_b6	f0639150-b407-451c-b9da-cb7f407d6fb0	2026-08-09T01:06:45	2026-08-09T01:15:30	deepseek-v4-flash	11	68848	11747	43443	0.014	1
putnam_1989_a1	00c56f30-d82c-48ea-8052-fe8bf7edc921	2026-08-09T01:14:48	2026-08-09T01:48:36	deepseek-v4-flash	62	1775718	51660	126957	0.0478	1
putnam_1989_a2	0d383168-5a27-4fa6-a0e7-48fd28acd86f	2026-08-09T01:15:44	2026-08-09T02:15:09	deepseek-v4-flash	119	6556008	104325	185312	0.0848	1
putnam_1989_a3	756eca60-fa45-4fdf-ba16-1cbd0fa636ea	2026-08-09T01:18:15	2026-08-09T01:28:20	deepseek-v4-flash	12	65565	11677	43636	0.014	1
putnam_1989_a6	63cd7e7d-6edc-4704-9004-1fc80b242348	2026-08-09T01:21:58	2026-08-09T02:56:50	deepseek-v4-flash	146	13660283	147120	323140	0.1493	1
putnam_1989_b1	fcaf733c-ca5c-4a9d-9452-acfbacadcc94	2026-08-09T01:25:25	2026-08-09T03:12:01	deepseek-v4-flash	152	19479701	199245	347712	0.1798	1
putnam_1989_b2	6ccf8f22-f36e-4b78-8b11-433f0a1f6fa5	2026-08-09T01:26:27	2026-08-09T01:47:49	deepseek-v4-flash	25	330942	19357	77931	0.0255	1
